,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
50,g,DUKKAH CROUTONS 1.5CM x 1.5CM rough cut,,,14.40,kg,1.65,1.60,1.80,1.85,2.10,1.95,1.75,1.70,,
,,SMALL PLATES,,,,,,,,,,,,,,
F0303902,,BAKED RIGATONI EGGPLANT RICH TOMATO SAUCE,Mascot,Mascot,1066,units,126,112,140,131,160,141,123,133,,
110,g,BAKED RIGATONI(1EA = 110G),,,117.26,kg,13.86,12.32,15.40,14.41,17.60,15.51,13.53,14.63,,
30,g,RICH TOMATO SAUCE,,,31.98,kg,3.78,3.36,4.20,3.93,4.80,4.23,3.69,3.99,,
F0303922,,BAKED RIGATONI EGGPLANT RICH TOMATO SAUCE,Mascot,Mascot,0,units,0,0,0,0,0,0,0,0,,
220,g,BAKED RIGATONI(1EA = 110G),,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
60,g,RICH TOMATO SAUCE (30g/2P35),,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
F1401990,,MARINATED ZUCCHINI SALAD FOR F0303902,Mascot,Mascot,1066,units,126,112,140,131,160,141,123,133,,
40,g,MARINATED ZUCCHINI,,,42.64,kg,5.04,4.48,5.60,5.24,6.40,5.64,4.92,5.32,,
F0303900,,BURRATA ROAST PEPPER RADICCHIO SOURDOUGH,Mascot,Mascot,107,units,16,11,16,10,16,15,8,15,,
50,g,BURRATA,,,5.35,kg,0.80,0.55,0.80,0.50,0.80,0.75,0.40,0.75,,
55,g,ROASTED PEPPER MIX,,,5.89,kg,0.88,0.61,0.88,0.55,0.88,0.83,0.44,0.83,,
10,g,LIGURIAN OLIVE,,,1.07,kg,0.16,0.11,0.16,0.10,0.16,0.15,0.08,0.15,,
15,g,GRILLED SHALLOT,,,1.61,kg,0.24,0.17,0.24,0.15,0.24,0.23,0.12,0.23,,
3,g,RADICHHIO LEAF TORN,,,0.32,kg,0.05,0.03,0.05,0.03,0.05,0.05,0.02,0.05,,
2,g,SALAD HERB TARRAGON DILL FRISEE,,,0.21,kg,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,,
1,no.,CHARRED GRILLED SOURDOUGH CUT IN HALF,,,107.00,no.,16,11,16,10,16,15,8,15,,
,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
F0200633,,ROAST CHICKEN BROTH FARRO ASPARAGUS ENOKI,Mascot,Mascot,90,units,13,9,14,9,12,13,7,13,,
60,g,ROAST CHICKEN BROTH,,,5.40,kg,0.78,0.54,0.84,0.54,0.72,0.78,0.42,0.78,,
10,g,COOKED FARRO,,,0.90,kg,0.13,0.09,0.14,0.09,0.12,0.13,0.07,0.13,,
10,g,"BLANCH ASPARAGUS (1CM SLICE, TIPS SPLIT LENGTHWAYS)",,,0.90,kg,0.13,0.09,0.14,0.09,0.12,0.13,0.07,0.13,,
5,g,STEAMED ENOKI MUSHROOMS,,,0.45,kg,0.07,0.05,0.07,0.05,0.06,0.07,0.04,0.07,,
F1401987,,PUMPKIN TORTELLINI GARNISH FOR F0200633,Mascot,Mascot,90,units,13,9,14,9,12,13,7,13,,
40,g,PUMPKIN TORTELLINI (1 EA = 20G),,,3.60,kg,0.52,0.36,0.56,0.36,0.48,0.52,0.28,0.52,,
2,ea,CABBAGE LEAF,,,180.00,ea,26,18,28,18,24,26,14,26,,
F1401988,,PARSLEY CHIFFONADE GARNISH FOR F0200633,Mascot,Mascot,90,units,13,9,14,9,12,13,7,13,,
1,g,PARSLEY CHIFFONADE,,,0.09,kg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
F0303903,,TUNA POKE CORIANDER SESAME DRESSING,Mascot,Mascot,168,units,22,16,23,14,21,22,11,21,,
70,g,SEARED TUNA (10MM X 10MM CUBE),,,11.76,kg,1.54,1.12,1.61,0.98,1.47,1.54,0.77,1.47,,
